name,distance_from_earth,planet_mass,planet_type,planet_radius,distance_from_their_sun,orbital_period,gravity,orbital_speed,specifications
BD-17 63 b,113,1620.78,Gas Giant,12.88,1.34 AU,1.8 years,95.93633738,221.777214,"['gravity', 'goldilock']"
BD+20 2457 b,5450,17666.502,Gas Giant,11.536,1.05 AU,379.6 days,1303.559513,300.7742068,['goldilock']
BD+20 2457 c,5450,3962.966,Gas Giant,12.32,2.01 AU,1.7 years,256.3832933,352.2343988,[]
BD+20 274 b,4514,1334.76,Gas Giant,12.992,1.3 AU,1.6 years,77.65008772,242.0516235,"['gravity', 'goldilock']"
BD+20 594 b,588,22.2481,Neptune-like,2.576,0.241 AU,41.7 days,32.92243901,628.4322764,['gravity']
BD+48 738 b,2910,289.198,Gas Giant,13.888,1.0 AU,392.6 days,14.72335083,276.9664723,"['gravity', 'goldilock']"
BD+48 740 b,2215,540.26,Gas Giant,13.44,1.7 AU,2 years,29.36939958,253.2232369,"['gravity', 'goldilock']"
BD+49 828 b,1460,508.48,Gas Giant,13.552,4.2 AU,7.1 years,27.18678676,176.2282676,"['gravity', 'speed']"
Beta Cancri b,295,2478.84,Gas Giant,12.544,1.7 AU,1.7 years,154.6917655,297.9096905,['goldilock']
Beta Pictoris b,64,3495.8,Gas Giant,18.48,9.1 AU,21 years,100.5155921,129.0941992,['speed']
Beta Pictoris c,64,2860.2,Gas Giant,12.544,2.7 AU,3.3 years,178.4904987,243.7442922,[]
Beta Ursae Minoris b,127,1938.58,Gas Giant,12.768,1.4 AU,1.4 years,116.7693254,297.9096905,['goldilock']
CFBDSIR J145829+101343 b,75,3336.9,Gas Giant,12.432,2.6 AU,27.5 years,212.0078688,28.1660071,['speed']
CHXR 73 b,623,3994.4282,Gas Giant,12.32,210.0 AU,5146.9 years,258.4187341,12.15509044,['speed']
CI Tauri b,515,3686.48,Gas Giant,12.432,Unknown,9 days,234.2182169,2537197.531,[]
CoRoT-10 b,1125,873.95,Gas Giant,10.864,0.1055 AU,13.2 days,72.71062271,869.0725309,['gravity']
CoRoT-11 b,1827,740.474,Gas Giant,16.016,0.0436 AU,3 days,28.34604582,1580.311605,['gravity']
CoRoT-12 b,3751,291.4226,Gas Giant,16.128,0.04016 AU,2.8 days,11.00152754,1559.599788,['gravity']
CoRoT-13 b,3458,415.6824,Gas Giant,9.912,0.051 AU,4 days,41.54605975,1386.397222,['gravity']
CoRoT-14 b,4371,2415.28,Gas Giant,12.208,0.027 AU,1.5 days,159.1362923,1957.266667,[]
CoRoT-16 b,2740,170.023,Gas Giant,13.104,0.0618 AU,5.4 days,9.722785335,1244.434979,['gravity']
CoRoT-17 b,3001,772.254,Gas Giant,11.424,0.0461 AU,3.8 days,58.10514226,1319.151949,['gravity']
CoRoT-18 b,2838,1102.766,Gas Giant,14.672,0.0295 AU,1.9 days,50.30318946,1688.285575,['gravity']
CoRoT-19 b,2512,352.758,Gas Giant,14.448,0.0518 AU,3.9 days,16.59404246,1444.250902,['gravity']
CoRoT-1 b,2627,327.334,Gas Giant,16.688,0.02752 AU,1.5 days,11.54179421,1994.962173,['gravity']
CoRoT-20 b,2819,1366.54,Gas Giant,9.408,0.09 AU,9.2 days,151.6067445,1063.731884,[]
CoRoT-20 c,2819,5402.6,Gas Giant,12.208,2.9 AU,4.6 years,355.962759,187.812631,['speed']
CoRoT-21 b,4563,718.228,Gas Giant,14.56,0.0417 AU,2.7 days,33.26828193,1679.383128,['gravity']
CoRoT-22 b,1931,12.2,Neptune-like,4.872,0.092 AU,9.8 days,5.04703205,1020.796674,['gravity']
CoRoT-23 b,1957,889.84,Gas Giant,11.76,0.048 AU,3.6 days,63.18122935,1449.82716,['gravity']
CoRoT-24 b,1957,5.7,Neptune-like,3.696,0.056 AU,5.1 days,4.097337342,1193.975309,['gravity']
CoRoT-24 c,1957,28,Neptune-like,4.928,0.098 AU,11.8 days,11.32159002,903.0703076,['gravity']
CoRoT-25 b,3262,85.806,Gas Giant,12.096,0.0578 AU,4.9 days,5.7587058,1282.653212,['gravity']
CoRoT-26 b,5448,165.256,Gas Giant,14.112,0.0526 AU,4.2 days,8.148372833,1361.80194,['gravity']
CoRoT-27 b,3377,3301.942,Gas Giant,11.2784,0.0476 AU,3.6 days,254.8973058,1437.745267,[]
CoRoT-28 b,1827,153.8152,Gas Giant,10.696,0.0603 AU,5.2 days,13.20222887,1260.93141,['gravity']
CoRoT-29 b,2495,270.13,Gas Giant,10.08,0.0386 AU,2.9 days,26.10613296,1447.327458,['gravity']
CoRoT-2 b,652,1102.766,Gas Giant,16.4192,0.02798 AU,1.7 days,40.16707183,1789.683704,['gravity']
CoRoT-30 b,3132,921.62,Gas Giant,11.3008,0.0844 AU,9.1 days,70.86377829,1008.506146,['gravity']
CoRoT-31 b,7144,266.952,Gas Giant,16.352,0.0586 AU,4.6 days,9.803523929,1385.215298,['gravity']
CoRoT-3 b,2218,6883.548,Gas Giant,11.312,0.05783 AU,4.3 days,528.2315578,1462.38671,[]
CoRoT-4 b,2419,228.816,Gas Giant,13.328,0.09 AU,9.2 days,12.64873845,1063.731884,['gravity']
CoRoT-5 b,2951,148.4126,Gas Giant,15.5456,0.04947 AU,4 days,6.030406484,1344.805306,['gravity']
CoRoT-6 b,2144,940.688,Gas Giant,13.0592,0.0855 AU,8.9 days,54.16306707,1044.608614,['gravity']
CoRoT-7 b,524,3.1783,Super Earth,1.681,0.017016,0.9,11.04460662,2055.854914,"['gravity', 'planet_type']"
CoRoT-7 c,524,8.4,Neptune-like,2.8336,0.046 AU,3.7 days,10.27289832,1351.865866,['gravity']
CoRoT-8 b,1240,69.916,Gas Giant,6.384,0.063 AU,6.2 days,16.84541087,1104.908602,['gravity']
CoRoT-9 b,1363,266.952,Gas Giant,11.9392,0.4021 AU,95.3 days,18.38965219,458.7949905,"['gravity', 'goldilock']"
CoRoTID 223977153 b,1912,47.67,Gas Giant,6.384,0.071 AU,6.7 days,11.48550741,1152.288004,['gravity']
CT Chamaleontis b,538,5402.6,Gas Giant,24.64,440.0 AU,Infinity years,87.38003181,0,"['gravity', 'speed']"
DE Canun Venaticorum b,100,3822.91154,Gas Giant,12.32,5.75 AU,11.2 years,247.322498,152.9447072,['speed']
DENIS-P J082303.1-491201 b,68,9057.3,Gas Giant,11.872,0.36 AU,246.4 days,631.0180296,158.8690476,['speed']
DH Tauri b,457,3495.8,Gas Giant,30.24,330.0 AU,10441.5 years,37.5382304,9.415332842,"['gravity', 'speed']"
DMPP-1 b,202,24.27,Neptune-like,5.2864,0.1462 AU,18.6 days,8.52786909,854.6964954,['gravity']
DMPP-1 c,202,9.6,Neptune-like,3.0576,0.0733 AU,6.6 days,10.08325348,1207.640123,['gravity']
DMPP-1 d,202,3.35,Super Earth,1.65,0.0422,2.9,12.08280342,1582.311367,"['gravity', 'planet_type']"
DMPP-1 e,202,4.13,Super Earth,1.86,0.0651,5.5,11.72235729,1287.051111,"['gravity', 'planet_type']"
DMPP-2 b,437,138.8786,Gas Giant,14.336,0.0664 AU,5.2 days,6.635446263,1388.488319,['gravity']
DMPP-3 A b,160,2.58,Super Earth,1.41,0.0662,6.7,12.74301728,1074.386844,"['gravity', 'planet_type']"
DP Leonis b,995,1995.784,Gas Giant,12.768,8.19 AU,28 years,120.2149776,87.13858447,['speed']
DS Tucanae A b,144,413.14,Neptune-like,5.7008,Unknown,8.1 days,124.8292687,109945.2263,[]
EPIC 201238110 b,522,4.16,Super Earth,1.87,Unknown,28.2 days,11.68156174,31580.01182,"['gravity', 'planet_type']"
EPIC 201497682 b,831,0.26,Terrestrial,0.692,Unknown,2.1 days,5.331531141,424074.4444,"['gravity', 'planet_type']"
EPIC 201615463 c,1569,1.98,Super Earth,1.22,Unknown,3.8 days,13.06280128,234356.9298,"['gravity', 'planet_type']"
EPIC 201754305 d,1103,1.08,Super Earth,1.03,Unknown,2.7 days,9.996318782,329835.679,"['gravity', 'planet_type']"
EPIC 201833600 c,846,0.972,Terrestrial,1,Unknown,4 days,9.544585136,222639.0833,"['gravity', 'planet_type']"
EPIC 201841433 b,1442,1.37,Super Earth,1.1,Unknown,4.2 days,11.11798255,212037.2222,"['gravity', 'planet_type']"
EPIC 205950854 c,801,2.27,Super Earth,1.31,Unknown,8.1 days,12.98895036,109945.2263,"['gravity', 'planet_type']"
EPIC 206024342 b,1219,3.53,Super Earth,1.7,Unknown,4.5 days,11.99409968,197901.4074,"['gravity', 'planet_type']"
EPIC 206032309 b,529,1.01,Super Earth,1.01,Unknown,2.9 days,9.722308943,307088.3908,"['gravity', 'planet_type']"
EPIC 206042996 b,1492,3.26,Super Earth,1.62,Unknown,5.3 days,12.19771164,168029.4969,"['gravity', 'planet_type']"
EPIC 206215704 b,360,0.666,Terrestrial,0.9,Unknown,2.3 days,8.073837449,387198.4058,"['gravity', 'planet_type']"
EPIC 206317286 b,1035,0.84,Terrestrial,0.96,Unknown,1.6 days,8.950094301,556597.7083,"['gravity', 'planet_type']"
EPIC 211822797 b,611,4.58,Super Earth,1.98,0.131,21.2,11.47165001,671.9128232,"['gravity', 'planet_type']"
EPIC 211945201 b,596,27,Neptune-like,5.7568,0.1493 AU,19.5 days,8.000042092,832.5353656,['gravity']
EPIC 212297394 b,1381,2.31,Super Earth,1.323,Unknown,2.3 days,12.95934593,7058.452013,"['gravity', 'planet_type']"
EPIC 212424622 b,2031,5.35,Neptune-like,2.17,Unknown,18.1 days,11.15642642,896.9303663,['gravity']
EPIC 212499991 b,932,3.19,Super Earth,1.6,Unknown,34.9 days,12.23605749,465.17019,"['gravity', 'planet_type']"
EPIC 212587672 b,1053,1.46,Super Earth,1.12,Unknown,15.3 days,11.42898339,1061.074486,"['gravity', 'planet_type']"
EPIC 212737443 b,1133,7.2,Neptune-like,2.5872,0.098 AU,13.6 days,10.56241635,783.5462963,['gravity']
EPIC 212737443 c,1133,7.7,Neptune-like,2.688,0.28 AU,65.6 days,10.46460856,464.1214995,['gravity']
EPIC 220554210 c,1638,2.79,Super Earth,1.48,Unknown,0.7 days,12.5075303,43494.81481,"['gravity', 'planet_type']"
EPIC 220674823 b,803,7.72,Super Earth,1.82,0.0134,0.6,22.88575875,2428.460494,"['gravity', 'planet_type']"
EPIC 220674823 c,803,5.8,Neptune-like,2.7328,0.1091 AU,13.3 days,7.626110377,891.9707324,['gravity']
EPIC 246851721 b,1098,953.4,Gas Giant,11.7712,0.07229 AU,6.2 days,67.56541699,1267.838775,['gravity']
EPIC 248847494 b,1827,4131.4,Gas Giant,12.432,4.5 AU,10 years,262.4859327,134.0593607,['speed']
EPIC 249893012 b,1058,8.75,Super Earth,1.95,0.047,3.6,22.59589883,1419.622428,"['gravity', 'planet_type']"
EPIC 249893012 c,1058,14.67,Neptune-like,3.6624,0.13 AU,15.6 days,10.73963087,906.1419753,['gravity']
EPIC 249893012 d,1058,10.18,Neptune-like,3.9424,0.22 AU,35.7 days,6.431572905,670.0881834,['gravity']
Epsilon Coronae Borealis b,228,2129.26,Gas Giant,12.656,1.3 AU,417.9 days,130.5348741,338.258311,['goldilock']
Epsilon Eridani b,11,247.884,Gas Giant,13.888,3.39 AU,7.4 years,12.620015,136.4748447,"['gravity', 'speed']"
Epsilon Indi A b,12,1032.85,Gas Giant,13.104,11.55 AU,45.2 years,59.06364923,76.12515322,"['gravity', 'speed']"
Epsilon Tauri b,161,2415.28,Gas Giant,12.656,1.93 AU,1.6 years,148.0694094,359.3535642,['goldilock']
FU Tauri b,457,5084.8,Gas Giant,12.208,800.0 AU,101250.8 years,335.0237732,2.353835747,['speed']
G 9-40 b,91,4.76,Super Earth,2.025,0.0385,5.7,11.39849961,734.4519168,"['gravity', 'planet_type']"
Gamma 1 Leonis b,126,2790.284,Gas Giant,12.544,1.19 AU,428.5 days,174.1273976,301.9768356,['goldilock']
Gamma Cephei b,44,587.93,Gas Giant,13.44,2.05 AU,2.5 years,31.96081719,244.2859462,['gravity']
Gamma Librae b,155,324.156,Gas Giant,13.776,1.24 AU,415.2 days,16.7725304,324.7445229,"['gravity', 'goldilock']"
Gamma Librae c,155,1455.524,Gas Giant,12.88,2.17 AU,2.6 years,86.15459318,248.6400109,['gravity']
GJ 1061 b,12,1.37,Super Earth,1.1,0.021,3.2,11.11798255,713.5868056,"['gravity', 'planet_type']"
GJ 1061 c,12,1.74,Super Earth,1.18,0.035,6.7,12.27088892,568.029298,"['gravity', 'planet_type']"
GJ 1061 d,12,1.64,Super Earth,1.16,0.054,13,11.96791954,451.6769231,"['gravity', 'planet_type']"
GJ 1132 b,41,1.66,Super Earth,1.13,0.0153,1.6,12.76562235,1039.797917,"['gravity', 'planet_type']"
GJ 1132 c,41,2.64,Super Earth,1.43,0.0476,8.9,12.6771796,581.5598835,"['gravity', 'planet_type']"
GJ 1148 b,36,96.69065,Gas Giant,11.984,0.166 AU,41.4 days,6.611068701,435.9987475,['gravity']
GJ 1148 c,36,68.053692,Gas Giant,9.6992,0.912 AU,1.5 years,7.103471675,181.1290918,"['gravity', 'goldilock', 'speed']"
GJ 1214 b,48,6.26125,Neptune-like,2.8448,0.01411 AU,1.6 days,7.597108997,958.9247454,['gravity']
GJ 1252 b,66,2.09,Super Earth,1.193,0.00916,0.5,14.41969884,1992.062519,"['gravity', 'planet_type']"
GJ 1265 b,33,7.4,Neptune-like,2.6208,0.026 AU,3.7 days,10.57924685,764.0980981,['gravity']
GJ 143 b,53,22.7,Neptune-like,2.6096,0.1915 AU,35.6 days,32.731715,584.9197357,['gravity']
GJ 15 A b,12,3.03,Super Earth,1.55,0.072,11.4,12.38425892,686.7602339,"['gravity', 'planet_type']"
GJ 15 A c,12,36,Neptune-like,6.664,5.4 AU,20.8 years,7.960187823,77.34193888,"['gravity', 'speed']"
GJ 160.2 b,84,10.2,Neptune-like,3.1696,0.053 AU,5.2 days,9.969699002,1108.281339,['gravity']
GJ 163 b,49,10.6,Neptune-like,3.248,0.0607 AU,8.6 days,9.866533967,767.48118,['gravity']
GJ 163 c,49,6.8,Neptune-like,2.4976,0.1254 AU,25.6 days,10.70419304,532.6415799,['gravity']
GJ 163 d,49,29.4,Neptune-like,5.9136,1.0304 AU,1.7 years,8.25532606,180.5683206,"['gravity', 'goldilock', 'speed']"
GJ 179 b,40,260.596,Gas Giant,13.888,2.41 AU,6.3 years,13.26719526,113.9622784,"['gravity', 'speed']"
GJ 180 b,39,6.49,Neptune-like,2.4304,0.092 AU,17.1 days,10.78896974,585.017977,['gravity']
GJ 180 c,39,6.4,Neptune-like,2.408,0.129 AU,24.3 days,10.83821595,577.2459991,['gravity']
GJ 180 d,39,7.56,Neptune-like,2.6544,0.309 AU,106.3 days,10.53609916,316.0841434,['gravity']
GJ 2056 b,93,16.2,Neptune-like,4.1664,0.283 AU,70 days,9.163974682,439.6083069,['gravity']
GJ 229 A c,19,7.268,Neptune-like,2.5984,0.339 AU,122 days,10.57045532,302.146357,['gravity']
GJ 229 b,19,8.478,Neptune-like,2.8448,0.898 AU,1.4 years,10.28681015,191.0877872,"['gravity', 'goldilock', 'speed']"
GJ 27.1 b,77,13,Neptune-like,3.6624,0.101 AU,15.8 days,9.5170553,695.0911861,['gravity']
GJ 273 b,12,2.89,Super Earth,1.51,0.091101,18.6,12.44614165,532.5834845,"['gravity', 'planet_type']"
GJ 273 c,12,1.18,Super Earth,1.06,0.036467,4.7,10.31243129,843.6837297,"['gravity', 'planet_type']"
GJ 3021 b,57,1070.986,Gas Giant,13.104,0.49 AU,133.7 days,61.2444609,398.5127012,"['gravity', 'goldilock']"
GJ 3082 b,54,8.2,Neptune-like,2.7888,0.079 AU,11.9 days,10.35308797,721.8677249,['gravity']
GJ 3138 b,93,1.78,Super Earth,1.18,0.0197,1.2,12.55297832,1785.099691,"['gravity', 'planet_type']"
GJ 3138 c,93,4.18,Super Earth,1.88,0.057,6,11.6131858,1033.001852,"['gravity', 'planet_type']"
GJ 3138 d,93,10.5,Neptune-like,3.2256,0.698 AU,257.8 days,9.909667195,294.4082694,"['gravity', 'goldilock']"
GJ 317 b,49,794.5,Gas Giant,13.216,1.151 AU,1.9 years,44.66677868,180.4705546,"['gravity', 'goldilock', 'speed']"
GJ 317 c,49,522.450488,Gas Giant,13.44,5.23 AU,18.5 years,28.40124596,84.21987467,"['gravity', 'speed']"
GJ 328 b,67,730.94,Gas Giant,13.328,4.5 AU,11.2 years,40.40569227,119.6958578,"['gravity', 'speed']"
GJ 3293 b,66,23.54,Neptune-like,5.1856,0.14339 AU,30.6 days,8.596055728,509.53607,['gravity']
GJ 3293 c,66,21.09,Neptune-like,4.8608,0.36175 AU,122.6 days,8.764998913,320.8452133,['gravity']
GJ 3293 d,66,7.6,Neptune-like,2.6656,0.19394 AU,48.1 days,10.5030256,438.4295418,['gravity']
GJ 3293 e,66,3.28,Super Earth,1.63,0.08208,13.3,12.12242277,671.0628571,"['gravity', 'planet_type']"
GJ 3323 b,17,2.02,Super Earth,1.23,0.03282,5.4,13.11088288,660.8795473,"['gravity', 'planet_type']"
GJ 3323 c,17,2.31,Super Earth,1.32,0.1264,40.5,13.01831898,339.3669502,"['gravity', 'planet_type']"
GJ 3341 b,76,6.6,Neptune-like,2.4528,0.089 AU,14.2 days,10.77234991,681.5208659,['gravity']
GJ 338 B b,21,10.27,Neptune-like,3.1808,0.141 AU,24.5 days,9.967551985,625.7927438,['gravity']
GJ 3470 b,96,13.9,Neptune-like,4.5696,0.0355 AU,3.3 days,6.536559518,1169.746914,['gravity']
GJ 3512 b,31,147.1414,Gas Giant,14.224,0.338 AU,203.6 days,7.141380738,180.5162992,"['gravity', 'speed']"
GJ 357 b,31,1.84,Super Earth,1.217,0.035,3.9,12.19909063,975.8452042,"['gravity', 'planet_type']"
GJ 357 c,31,3.4,Super Earth,1.66,0.061,9.1,12.11584008,728.8966219,"['gravity', 'planet_type']"
GJ 357 d,31,6.1,Neptune-like,2.3408,0.204 AU,55.7 days,10.93180833,398.2469579,['gravity']
GJ 3634 b,65,8.4,Neptune-like,2.8336,0.0287 AU,2.6 days,10.27289832,1200.289601,['gravity']
GJ 3779 b,45,8,Neptune-like,2.744,0.026 AU,3 days,10.43308064,942.3876543,['gravity']
GJ 3942 b,55,7.14,Neptune-like,2.5648,0.0608 AU,6.9 days,10.65815405,958.1466452,['gravity']
GJ 3998 b,59,2.47,Super Earth,1.38,0.029,2.6,12.73589798,1212.836182,"['gravity', 'planet_type']"
GJ 3998 c,59,6.26,Neptune-like,2.3744,0.089 AU,13.7 days,10.90328482,706.3938902,['gravity']
GJ 411 b,8,2.99,Super Earth,1.54,0.0785,13,12.37999695,656.604416,"['gravity', 'planet_type']"
GJ 422 b,41,11.07,Neptune-like,3.3264,0.111 AU,20.1 days,9.824025206,600.488115,['gravity']
GJ 4276 b,70,16.57,Neptune-like,4.2224,0.082 AU,13.4 days,9.126296072,665.405749,['gravity']
GJ 433 b,30,6.043,Neptune-like,2.3296,0.062 AU,7.4 days,10.9340403,911.04004,['gravity']
GJ 433 c,30,32.422,Neptune-like,6.272,4.819 AU,14 years,8.093166838,102.5447713,"['gravity', 'speed']"
GJ 433 d,30,5.223,Neptune-like,2.14,0.178 AU,36.1 days,11.19910381,536.1549195,['gravity']
GJ 436 b,32,22.1,Neptune-like,4.1664,0.0291 AU,2.6 days,12.50147163,1217.018376,['gravity']
GJ 480 b,46,13.2,Neptune-like,3.696,0.068 AU,9.6 days,9.488570687,770.220679,['gravity']
GJ 504 b,57,1271.2,Gas Giant,12.992,43.5 AU,259.9 years,73.9524645,49.86176044,"['gravity', 'speed']"
GJ 536 b,34,5.36,Neptune-like,2.17,0.06661 AU,8.7 days,11.17727955,832.5257514,['gravity']
GJ 581 b,21,15.8,Neptune-like,4.0992,0.04061 AU,5.4 days,9.23314513,817.7427915,['gravity']
GJ 581 c,21,5.5,Neptune-like,2.21,0.0721 AU,12.9 days,11.05780516,607.7473155,['gravity']
GJ 581 e,21,1.7,Super Earth,1.17,0.02815,3.1,12.19461207,987.4024492,"['gravity', 'planet_type']"
GJ 625 b,21,2.82,Super Earth,1.49,0.078361,14.6,12.47289777,583.6125315,"['gravity', 'planet_type']"
GJ 649 b,34,104.2384,Gas Giant,12.432,1.135 AU,1.6 years,6.622721995,211.3296867,"['gravity', 'goldilock']"
GJ 667 C b,22,5.6,Neptune-like,2.23,0.0505 AU,7.2 days,11.0578092,762.6694959,['gravity']
GJ 667 C c,22,3.8,Super Earth,1.77,0.125,28.1,11.91044136,483.7056808,"['gravity', 'planet_type']"
